PUCID_productype,PUCID_refined,New Description,source.id,Old description,new/old match?,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
AC.0500.010,#N/A,#N/A,P.AC.010,#N/A,#N/A,0,Personal,,#N/A,,,0.4,0.4,0.05,,,,,,,
#N/A,AC.0500.010.050.F,"general arts and crafts supplies , arts and crafts adhesive spray",P.AC.010.029,arts and crafts adhesive spray,0,1,Personal,I,0,,,0.5,0.5,0.5,12,0.3,10,1,20,255,1
#N/A,AC.0500.010.099.F,"general arts and crafts supplies , arts and crafts adhesive NOC",P.AC.010.029,arts and crafts adhesive spray,0,1,Personal,I,0,,,0.5,0.5,0.5,12,0.3,10,1,20,255,1
AC.0500.020,#N/A,#N/A,P.AC.020,#N/A,#N/A,0,Personal,,#N/A,,,0.1,0.2,0.3,,,,,,,
#N/A,AC.0500.020.099.F,"general arts and crafts supplies , arts and crafts cleaner NOC",P.AC.020.000,arts and crafts cleaner,0,1,Personal,I,0,,,1,1,1,180,0.3,10,1,20,50,1
AC.0500.030,#N/A,#N/A,P.AC.030,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.02,0.02,,,,,,,
#N/A,AC.0500.030.050.F,"general arts and crafts supplies , arts and crafts finish spray",P.AC.030.029,arts and crafts finish spray,0,1,Personal,I,0,,,0.5,0.5,0.5,12,0.3,5,1,25,50,1
#N/A,AC.0500.030.099.F,"general arts and crafts supplies , arts and crafts finish NOC",P.AC.030.029,arts and crafts finish spray,0,1,Personal,I,0,,,0.5,0.5,0.5,12,0.3,5,1,25,50,1
AC.0500.040,#N/A,#N/A,P.AC.040,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.2,0.2,,,,,,,
#N/A,AC.0500.040.099.F,"general arts and crafts supplies , arts and crafts paint NOC",P.AC.040.000,arts and crafts paint,0,1,Personal,I,0,,,1,1,1,24,0.3,30,1,30,20,1
AC.0100.010,#N/A,#N/A,P.AC.050,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.2,,,,,,,
#N/A,AC.0100.010.050.F,"body paint , body paint spray",P.AC.050.029,body paint spray,0,1,Personal,I,0,,,0.5,0.5,0.5,6,1,20,1,0,20,1
#N/A,AC.0100.010.099.F,"body paint , body paint NOC",P.AC.050.029,body paint spray,0,1,Personal,I,0,,,0.5,0.5,0.5,6,1,20,1,0,20,1
AC.0200.010,#N/A,#N/A,P.AC.060,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.05,0.6,,,,,,,
#N/A,AC.0200.010.099.F,"children's art and toys , bubble solution NOC",P.AC.060.000,bubble solution,0,1,Personal,O,0,,,1,1,1,24,0.3,30,1,0,20,1
AC.0500.050,#N/A,#N/A,P.AC.070,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.05,1,,,,,,,
#N/A,AC.0500.050.099.F,"general arts and crafts supplies , craft kit NOC",P.AC.070.000,craft kit,0,1,Personal,I,0,,,1,1,1,364,0,30,1,0,0.1,1
AC.0200.020,#N/A,#N/A,P.AC.080,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.05,1,,,,,,,
#N/A,AC.0200.020.099.F,"children's art and toys , crayons NOC",P.AC.080.000,crayons,0,1,Personal,I,0,,,1,1,1,364,0,30,1,0,0.1,1
AC.0300.010,#N/A,#N/A,P.AC.090,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.01,,,,,,,
#N/A,AC.0300.010.099.F,"fabric treatment and dye , fabric dye NOC",P.AC.090.000,dye,0,1,Personal,I,0,,,1,1,1,12,0.3,30,1,0,50,1
AC.0300.020,#N/A,#N/A,P.AC.100,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.05,0.05,,,,,,,
#N/A,AC.0300.020.050.F,"fabric treatment and dye , fabric paints and sealers spray",P.AC.100.029,fabric paints and sealers spray,0,1,Personal,I,0,,,0.5,0.5,0.5,12,0.3,30,1,0,50,1
#N/A,AC.0300.020.099.F,"fabric treatment and dye , fabric paints and sealers NOC",P.AC.100.029,fabric paints and sealers spray,0,1,Personal,I,0,,,0.5,0.5,0.5,12,0.3,30,1,0,50,1
AC.0200.030,#N/A,#N/A,P.AC.110,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.2,,,,,,,
#N/A,AC.0200.030.099.F,"children's art and toys , finger paint NOC",P.AC.110.000,finger paint,0,1,Personal,I,0,,,1,1,1,6,1,20,1,0,10,1
AC.0500.060,#N/A,#N/A,P.AC.120,#N/A,#N/A,0,Personal,,#N/A,,,0.1,0.1,0.01,,,,,,,
#N/A,AC.0500.060.050.F,"general arts and crafts supplies , flocking spray",P.AC.120.000,flocking,0,1,Personal,I,0,,,1,1,1,3,1,10,1,0,140,1
AC.0400.010,#N/A,#N/A,P.AC.130,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.01,,,,,,,
#N/A,AC.0400.010.099.F,"fogger , fogger NOC",P.AC.130.000,fogger,0,1,Personal,I,0,,,1,1,1,1,1,2,1,0,100,1
AC.0800.010,#N/A,#N/A,P.AC.140,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.01,,,,,,,
#N/A,AC.0800.010.099.F,"pottery making , glaze NOC",P.AC.140.000,glaze,0,1,Personal,I,0,,,1,1,1,12,0.3,30,1,90,100,1
AC.0600.010,#N/A,#N/A,P.AC.150,#N/A,#N/A,0,Personal,,#N/A,,,0.1,0.2,0.3,,,,,,,
#N/A,AC.0600.010.099.F,"gun cleaner , gun cleaner NOC",P.AC.150.000,gun cleaner,0,1,Personal,I,0,,,1,1,1,3,1,30,1,0,50,1
AC.0700.020,#N/A,#N/A,P.AC.160,#N/A,#N/A,0,Personal,,#N/A,,,1,1,1,,,,,,,
#N/A,AC.0700.020.099.F,"home office , pens and markers NOC",P.AC.160.000,pens and markers,0,1,Personal,I,0,,,1,1,1,364,0,30,1,0,0.1,1
AC.0200.040,#N/A,#N/A,P.AC.170,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.2,,,,,,,
#N/A,AC.0200.040.099.F,"children's art and toys , play dough NOC",P.AC.170.000,play dough,0,1,Personal,I,0,,,1,1,1,6,1,20,1,0,10,1
VE.0500.010,#N/A,#N/A,P.AP.010,#N/A,#N/A,0,Communal,,#N/A,0.03,,,,,,,,,,,
#N/A,VE.0500.010.099.F,"engine maintenance , antifreeze  NOC",P.AP.010.000,antifreeze,0,1,Communal,OO,Car Maintenance -1,,1,0.8,0.2,0,0.5,1,2,0.6,10,500,1
VE.0300.010,#N/A,#N/A,P.AP.020,#N/A,#N/A,0,Communal,,#N/A,0.2,,,,,,,,,,,
#N/A,VE.0300.010.050.F,"car interior , auto air freshener  spray",P.AP.020.029,auto air freshener spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,5,1,1,0.6,3,10,1
#N/A,VE.0300.010.099.F,"car interior , auto air freshener  NOC",P.AP.020.029,auto air freshener spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,5,1,1,0.6,3,10,1
VE.0500.020,#N/A,#N/A,P.AP.030,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,VE.0500.020.050.F,"engine maintenance , auto fluids and additives  spray",P.AP.030.029,auto fluids and additives spray,0,1,Communal,OO,Car Maintenance -1,,0.5,0.8,0.2,0,5,1,10,0.6,0,200,1
#N/A,VE.0500.020.099.F,"engine maintenance , auto fluids and additives  NOC",P.AP.030.029,auto fluids and additives spray,0,1,Communal,OO,Car Maintenance -1,,0.5,0.8,0.2,0,5,1,10,0.6,0,200,1
VE.0500.030,#N/A,#N/A,P.AP.040,#N/A,#N/A,0,Communal,,#N/A,0.18,,,,,,,,,,,
#N/A,VE.0500.030.050.F,"engine maintenance , auto lubricant  spray",P.AP.040.029,auto lubricant spray,0,1,Communal,OO,Car Maintenance -1,,0.5,0.8,0.2,0,11,1,10,0.6,0,50,1
#N/A,VE.0500.030.099.F,"engine maintenance , auto lubricant  NOC",P.AP.040.029,auto lubricant spray,0,1,Communal,OO,Car Maintenance -1,,0.5,0.8,0.2,0,11,1,10,0.6,0,50,1
VE.0100.010,#N/A,#N/A,P.AP.050,#N/A,#N/A,0,Communal,,#N/A,0.1,,,,,,,,,,,
#N/A,VE.0100.010.050.F,"auto body work , auto paint  spray",P.AP.050.029,auto paint spray,0,1,Communal,OO,0,,0.5,0.8,0.2,0,5,1,50,0.6,0,300,1
#N/A,VE.0100.010.099.F,"auto body work , auto paint  NOC",P.AP.050.029,auto paint spray,0,1,Communal,OO,0,,0.5,0.8,0.2,0,5,1,50,0.6,0,300,1
VE.0500.040,#N/A,#N/A,P.AP.060,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,VE.0500.040.099.F,"engine maintenance , auto refrigerant  NOC",P.AP.060.000,auto refrigerant,0,1,Communal,OO,Car Maintenance -1,,1,0.8,0.2,0,0.5,1,10,0.6,0,30,1
VE.0200.020,#N/A,#N/A,P.AP.070,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,VE.0200.020.099.F,"boat care and maintenance , boat cleaner - general  NOC",P.AP.070.000,boat cleaner,0,1,Communal,O,0,,1,0.8,0.2,0,2,1,120,0.6,0,500,1
VE.0200.040,#N/A,#N/A,P.AP.080,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,VE.0200.040.099.F,"boat care and maintenance , boat engine fluids  NOC",P.AP.080.000,boat engine fluids,0,1,Communal,O,0,,1,0.8,0.2,0,2,1,10,0.6,30,50,1
VE.0400.010,#N/A,#N/A,P.AP.090,#N/A,#N/A,0,Communal,,#N/A,0.47,,,,,,,,,,,
#N/A,VE.0400.010.099.F,"car surface treatment , body cleaner  NOC",P.AP.090.000,body cleaner,0,1,Communal,OO,Car Maintenance -2,,1,0.8,0.2,0,12,0.3,10,0.6,0,150,1
VE.0100.020,#N/A,#N/A,P.AP.100,#N/A,#N/A,0,Communal,,#N/A,0.47,,,,,,,,,,,
#N/A,VE.0100.020.050.F,"auto body work , body repair  spray",P.AP.100.029,auto products,0,1,Communal,OO,0,,0.5,0.8,0.2,0,12,0.3,10,0.6,40,150,1
#N/A,VE.0100.020.099.F,"auto body work , body repair  NOC",P.AP.100.029,auto products,0,1,Communal,OO,0,,0.5,0.8,0.2,0,12,0.3,10,0.6,40,150,1
VE.0400.020,#N/A,#N/A,P.AP.110,#N/A,#N/A,0,Communal,,#N/A,0.47,,,,,,,,,,,
#N/A,VE.0400.020.050.F,"car surface treatment , body wax  spray",P.AP.110.029,body wax spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,12,0.3,10,0.6,0,150,1
#N/A,VE.0400.020.099.F,"car surface treatment , body wax  NOC",P.AP.110.029,body wax spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,12,0.3,10,0.6,0,150,1
VE.0400.040,#N/A,#N/A,P.AP.120,#N/A,#N/A,0,Communal,,#N/A,0.28,,,,,,,,,,,
#N/A,VE.0400.040.050.F,"car surface treatment , degreaser  spray",P.AP.120.029,degreaser spray,0,1,Communal,OO,Car Maintenance -1,,0.5,0.8,0.2,0,15,0.3,10,0.6,0,100,1
#N/A,VE.0400.040.099.F,"car surface treatment , degreaser  NOC",P.AP.120.029,degreaser spray,0,1,Communal,OO,Car Maintenance -1,,0.5,0.8,0.2,0,15,0.3,10,0.6,0,100,1
VE.0100.030,#N/A,#N/A,P.AP.130,#N/A,#N/A,0,Communal,,#N/A,0.16,,,,,,,,,,,
#N/A,VE.0100.030.050.F,"auto body work , detailing  spray",P.AP.130.029,detailing spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,11,1,10,0.6,0,90,1
#N/A,VE.0100.030.099.F,"auto body work , detailing  NOC",P.AP.130.029,detailing spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,11,1,10,0.6,0,90,1
VE.0500.050,#N/A,#N/A,P.AP.140,#N/A,#N/A,0,Communal,,#N/A,0.25,,,,,,,,,,,
#N/A,VE.0500.050.099.F,"engine maintenance , motor oil  NOC",P.AP.140.000,motor oil,0,1,Communal,OO,Car Maintenance -1,,1,0.8,0.2,0.5,4,1,10,0.6,0,500,1
VE.0100.040,#N/A,#N/A,P.AP.150,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,VE.0100.040.050.F,"auto body work , windows/windshield  spray",P.AP.150.029,windows/windshield spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,5,1,10,0.6,10,100,1
#N/A,VE.0100.040.099.F,"auto body work , windows/windshield  NOC",P.AP.150.029,windows/windshield spray,0,1,Communal,OO,Car Maintenance -2,,0.5,0.8,0.2,0,5,1,10,0.6,10,100,1
HM.0100.010,#N/A,#N/A,P.HM.010,#N/A,#N/A,0,Communal,,#N/A,0.24,,,,,,,,,,,
#N/A,HM.0100.010.050.F,"adhesives and adhesive removers , adhesive remover spray",P.HM.010.029,adhesive remover-spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,1,1,60,0.6,0,500,1
#N/A,HM.0100.010.099.F,"adhesives and adhesive removers , adhesive remover NOC",P.HM.010.029,adhesive remover-spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,1,1,60,0.6,0,500,1
HM.0400.010,#N/A,#N/A,P.HM.020,#N/A,#N/A,0,Communal,,#N/A,0.61,,,,,,,,,,,
#N/A,HM.0400.010.099.F,"caulk/sealant , caulk/sealant NOC",P.HM.020.000,caulk/sealant,0,1,Communal,I,0,,1,0.2,0.8,0,3,1,15,1,30,75,1
HM.0500.010,#N/A,#N/A,P.HM.030,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,HM.0500.010.099.F,"concrete , concrete NOC",P.HM.030.000,concrete,0,1,Communal,O,0,,1,0.8,0.2,0,1,1,60,0.6,30,8000,1
HM.0600.010,#N/A,#N/A,P.HM.040,#N/A,#N/A,0,Communal,,#N/A,0.08,,,,,,,,,,,
#N/A,HM.0600.010.050.F,"corrosion protection , corrosion protection spray",P.HM.040.029,corrosion protection spray,0,1,Communal,O,0,,0.5,0.8,0.2,0,6,1,20,1,0,90,1
#N/A,HM.0600.010.099.F,"corrosion protection , corrosion protection NOC",P.HM.040.029,corrosion protection spray,0,1,Communal,O,0,,0.5,0.8,0.2,0,6,1,20,1,0,90,1
HM.0700.010,#N/A,#N/A,P.HM.050,#N/A,#N/A,0,Communal,,#N/A,0.28,,,,,,,,,,,
#N/A,HM.0700.010.099.F,"degreaser , degreaser NOC",P.HM.050.000,degreaser,0,1,Communal,I,0,,1,0.2,0.8,0,15,0.3,30,1,0,100,1
HM.0800.010,#N/A,#N/A,P.HM.060,#N/A,#N/A,0,Communal,,#N/A,0.43,,,,,,,,,,,
#N/A,HM.0800.010.050.F,"finish , finish spray",P.HM.060.029,finish spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,2,1,60,0.6,0,1000,1
#N/A,HM.0800.010.099.F,"finish , finish NOC",P.HM.060.029,finish spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,2,1,60,0.6,0,1000,1
HM.2100.010,#N/A,#N/A,P.HM.070,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,HM.2100.010.099.F,"tiling , grout sealer NOC",P.HM.070.000,grout sealer,0,1,Communal,O,0,,1,0.8,0.2,0,1,1,30,1,0,200,1
HM.1200.010,#N/A,#N/A,P.HM.080,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,HM.1200.010.099.F,"lock deicer , lock deicer NOC",P.HM.080.000,lock deicer,0,1,Communal,O,0,,1,0.8,0.2,0,4,1,5,1,0,20,1
HM.1300.010,#N/A,#N/A,P.HM.090,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,HM.1300.010.050.F,"lubricant , lubricant spray",P.HM.090.029,lubricant spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,10,1,10,1,0,30,1
#N/A,HM.1300.010.099.F,"lubricant , lubricant NOC",P.HM.090.029,lubricant spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,10,1,10,1,0,30,1
HM.2100.020,#N/A,#N/A,P.HM.100,#N/A,#N/A,0,Communal,,#N/A,0.1,,,,,,,,,,,
#N/A,HM.2100.020.099.F,"tiling , mortar or grout NOC",P.HM.100.000,mortar or grout,0,1,Communal,O,0,,1,0.8,0.2,0,0.2,1,360,0.6,0,15000,1
HM.0100.020,#N/A,#N/A,P.HM.110,#N/A,#N/A,0,Communal,,#N/A,0.61,,,,,,,,,,,
#N/A,HM.0100.020.050.F,"adhesives and adhesive removers , multipurpose adhesive spray",P.HM.110.029,multipurpose adhesive spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,52,0.3,20,1,0,10,1
#N/A,HM.0100.020.099.F,"adhesives and adhesive removers , multipurpose adhesive NOC",P.HM.110.029,multipurpose adhesive spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,52,0.3,20,1,0,10,1
HM.1400.010,#N/A,#N/A,P.HM.120,#N/A,#N/A,0,Communal,,#N/A,0.44,,,,,,,,,,,
#N/A,HM.1400.010.040.F,"paint/stain and related products , paint exterior",P.HM.120.005,paint exterior,0,1,Communal,O,Painting,,0.25,0.8,0.2,0,2,1,120,0.6,30,3000,1
#N/A,HM.1400.010.041.F,"paint/stain and related products , paint interior",P.HM.120.009,paint interior,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,2,1,120,0.6,30,1000,1
#N/A,HM.1400.010.050.F,"paint/stain and related products , paint spray",P.HM.120.029,paint spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,4,1,30,1,30,180,1
#N/A,HM.1400.010.099.F,"paint/stain and related products , paint NOC",P.HM.120.029,paint spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,4,1,30,1,30,180,1
HM.1400.020,#N/A,#N/A,P.HM.130,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,HM.1400.020.050.F,"paint/stain and related products , paint cleaner spray",P.HM.130.029,paint cleaner-spray,0,1,Communal,I,Painting,,0.5,0.2,0.8,0,12,0.3,10,1,0,50,1
#N/A,HM.1400.020.099.F,"paint/stain and related products , paint cleaner NOC",P.HM.130.029,paint cleaner-spray,0,1,Communal,I,Painting,,0.5,0.2,0.8,0,12,0.3,10,1,0,50,1
HM.1400.030,#N/A,#N/A,P.HM.140,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1400.030.099.F,"paint/stain and related products , paint texture NOC",P.HM.140.000,paint texture,0,1,Communal,I,Painting,,1,0.2,0.8,0,0.5,1,120,1,10,200,1
HM.1400.040,#N/A,#N/A,P.HM.150,#N/A,#N/A,0,Communal,,#N/A,0.36,,,,,,,,,,,
#N/A,HM.1400.040.099.F,"paint/stain and related products , paint thinner NOC",P.HM.150.000,paint thinner,0,1,Communal,I,Painting,,1,0.2,0.8,0,3,1,10,1,0,500,1
HM.1500.010,#N/A,#N/A,P.HM.160,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1500.010.099.F,"patch and repair , patch and repair NOC",P.HM.160.000,patch and repair,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,30,1,0,200,1
HM.1600.010,#N/A,#N/A,P.HM.170,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1600.010.099.F,"plumbing , plumbing NOC",P.HM.170.000,plumbing,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,60,0.6,0,50,1
HM.1400.050,#N/A,#N/A,P.HM.180,#N/A,#N/A,0,Communal,,#N/A,0.14,,,,,,,,,,,
#N/A,HM.1400.050.040.F,"paint/stain and related products , primer exterior",P.HM.180.005,primer exterior,0,1,Communal,O,Painting,,0.25,0.8,0.2,0,3.5,1,90,0.6,30,550,1
#N/A,HM.1400.050.041.F,"paint/stain and related products , primer interior",P.HM.180.009,primer interior,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,3.5,1,90,0.6,30,550,1
#N/A,HM.1400.050.050.F,"paint/stain and related products , primer spray",P.HM.180.029,primer spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,3.5,1,90,0.6,30,250,1
#N/A,HM.1400.050.099.F,"paint/stain and related products , primer NOC",P.HM.180.029,primer spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,3.5,1,90,0.6,30,250,1
HM.1500.020,#N/A,#N/A,P.HM.190,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,HM.1500.020.099.F,"patch and repair , putty or filler NOC",P.HM.190.000,putty or filler,0,1,Communal,I,0,,1,0.2,0.8,0,3,1,30,1,0,100,1
HM.1700.010,#N/A,#N/A,P.HM.200,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1700.010.099.F,"refrigerant , refrigerant NOC",P.HM.200.000,refrigerant,0,1,Communal,I,0,,1,0.2,0.8,0,1,1,10,1,10,2,1
HM.1800.010,#N/A,#N/A,P.HM.210,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1800.010.099.F,"roof , roof NOC",P.HM.210.000,roof,0,1,Communal,O,0,,1,0.8,0.2,0,0.05,1,360,0.6,0,5000,1
HM.1900.010,#N/A,#N/A,P.HM.220,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,HM.1900.010.099.F,"septic system , septic system NOC",P.HM.220.000,septic system,0,1,Communal,I,0,,1,0.2,0.8,0,4,1,20,1,0,500,1
